id,title,url,priority,category,purpose,prompt,media,poster_family,poster_role,status,type
101,Главная — hero,/,P0,homepage,первый экран и адаптивный архитектурный visual,беклог-промтов/101-home-hero-posters.md,беклог-промтов/assets/home-hero-desktop-v2.webp; беклог-промтов/assets/home-hero-mobile-v2.webp,home-hero-v2,главный архитектурный hero desktop/mobile,prepared,homepage
102,Главная — блок владельцев,/,P1,homepage,"оценка, подготовка и продажа",беклог-промтов/102-home-sellers-poster.md,беклог-промтов/assets/home-sellers-poster-v1.webp,,,prepared,homepage
103,Главная — блок покупателей,/,P1,homepage,"подбор, проверка и сопровождение покупки",беклог-промтов/103-home-buyers-poster.md,беклог-промтов/assets/home-buyers-poster-v1.webp,,,prepared,homepage
104,Главная — процесс,/,P1,homepage,как проходит работа,беклог-промтов/104-home-process-poster.md,беклог-промтов/assets/home-process-poster-v1.webp,,,prepared,homepage
105,Главная — консультация,/,P1,homepage,финальный CTA консультации,беклог-промтов/105-home-consultation-poster.md,беклог-промтов/assets/home-consultation-poster-v1.webp,,,prepared,homepage
106,Главная — материалы владельцам,/,P2,homepage,обложка материалов для владельцев,беклог-промтов/106-home-materials-sellers.md,беклог-промтов/assets/home-materials-sellers-v1.webp,,,prepared,homepage
107,Главная — материалы покупателям,/,P2,homepage,обложка материалов для покупателей,беклог-промтов/107-home-materials-buyers.md,беклог-промтов/assets/home-materials-buyers-v1.webp,,,prepared,homepage
108,Главная — материалы о документах,/,P2,homepage,обложка материалов о документах и рисках,беклог-промтов/108-home-materials-documents.md,беклог-промтов/assets/home-materials-documents-v1.webp,,,prepared,homepage
109,Владельцам,/sell/,P1,seller,"маршрут владельца: оценка, диагностика, подготовка и сопровождение продажи",беклог-промтов/109-sell.md,беклог-промтов/assets/site-pages/poster-sell-hub-v1.webp,poster-sell-hub-v1.webp,"маршрут владельца, продажа, подготовка, стратегия",prepared,remaining
110,Оценка недвижимости,/sell/estimate/,P1,seller,предварительный диапазон стоимости и объяснение факторов цены,беклог-промтов/110-sell-estimate.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
111,Диагностика продажи,/sell/diagnostic/,P1,seller,"оценка готовности объекта и стратегии продажи, включая фото-анализ как встроенный шаг",беклог-промтов/111-sell-diagnostic.md,беклог-промтов/assets/site-pages/poster-risk-check-v1.webp,poster-risk-check-v1.webp,"проверка объекта, диагностика, документы и risk-check",prepared,remaining
112,Подготовка к продаже,/sell/prepare/,P2,seller,понятный план подготовки объекта без ненужных затрат,беклог-промтов/112-sell-prepare.md,беклог-промтов/assets/site-pages/poster-sell-hub-v1.webp,poster-sell-hub-v1.webp,"маршрут владельца, продажа, подготовка, стратегия",prepared,remaining
113,Документы продавца,/sell/documents/,P2,seller,структурировать документы и риски до выхода на сделку,беклог-промтов/113-sell-documents.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
114,Показы недвижимости,/sell/showings/,P2,seller,"организация показов, обратной связи и безопасного доступа к объекту",беклог-промтов/114-sell-showings.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
115,Переговоры при продаже,/sell/negotiation/,P2,seller,"стратегия цены, торга и сравнения предложений покупателей",беклог-промтов/115-sell-negotiation.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
116,Налоги при продаже,/sell/taxes/,P2,seller,объяснить основные налоговые факторы и подготовку исходных данных,беклог-промтов/116-sell-taxes.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
117,Альтернативная сделка,/sell/alternative/,P1,seller,"показать цепочку продажи и покупки, зависимости и контроль рисков",беклог-промтов/117-sell-alternative.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
118,Покупателям,/buyers/,P1,buyer,"маршрут покупателя: каталог, подбор, проверка, ипотека и сопровождение",беклог-промтов/118-buyers.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
119,Каталог или подбор объектов,/buyers/catalog/,P1,buyer,каталог при наличии реальных объектов либо честный lead-capture подбор,беклог-промтов/119-buyers-catalog.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
120,Ипотека,/buyers/mortgage/,P1,buyer,предварительный расчёт и понятная последовательность подготовки заявки,беклог-промтов/120-buyers-mortgage.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
121,Подбор недвижимости,/buyers/selection/,P1,buyer,"зафиксировать критерии, сформировать shortlist и организовать просмотры",беклог-промтов/121-buyers-selection.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
122,Проверка покупки,/buyers/check/,P1,buyer,"объединить юридические, объектные и инфраструктурные риски",беклог-промтов/122-buyers-check.md,беклог-промтов/assets/site-pages/poster-risk-check-v1.webp,poster-risk-check-v1.webp,"проверка объекта, диагностика, документы и risk-check",prepared,remaining
123,Сопровождение покупки,/buyers/support/,P2,buyer,показать этапы от выбора объекта до регистрации права,беклог-промтов/123-buyers-support.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
124,Переговоры при покупке,/buyers/negotiation/,P2,buyer,аргументированное предложение по цене и условиям сделки,беклог-промтов/124-buyers-negotiation.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
125,Новостройка или вторичка,/buyers/new-vs-resale/,P2,buyer,"сравнить два сценария по срокам, цене, состоянию и рискам",беклог-промтов/125-buyers-new-vs-resale.md,беклог-промтов/assets/site-pages/poster-sell-hub-v1.webp,poster-sell-hub-v1.webp,"маршрут владельца, продажа, подготовка, стратегия",prepared,remaining
126,Проверка застройщика,/buyers/check-developer/,P1,buyer,собрать проверяемые признаки проекта и девелопера с объяснением ограничений,беклог-промтов/126-buyers-check-developer.md,беклог-промтов/assets/site-pages/poster-developer-analytics-v1.webp,poster-developer-analytics-v1.webp,"аналитика, проверка застройщика, data-driven подбор",prepared,remaining
127,Чек-лист покупателя,/buyers/checklist/,P2,buyer,"пошаговый список проверки объекта, документов и условий сделки",беклог-промтов/127-buyers-checklist.md,беклог-промтов/assets/site-pages/poster-risk-check-v1.webp,poster-risk-check-v1.webp,"проверка объекта, диагностика, документы и risk-check",prepared,remaining
128,Новостройки,/buyers/catalog/new-buildings/,P2,buyer,выдача реальных проектов либо индивидуальный подбор новостроек,беклог-промтов/128-buyers-catalog-new-buildings.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
129,Вторичная недвижимость,/buyers/catalog/resale/,P2,buyer,выдача реальных объектов вторичного рынка либо индивидуальный подбор,беклог-промтов/129-buyers-catalog-resale.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
130,О компании,/about/,P1,trust,"объяснить, кто работает с клиентом, подход и процесс без неподтверждённых claims",беклог-промтов/130-about.md,беклог-промтов/assets/site-pages/poster-about-trust-v1.webp,poster-about-trust-v1.webp,"о компании, контакты, экспертный подход и доверие",prepared,remaining
131,Материалы,/blog/,P1,content,редакционный центр с четырьмя подтверждёнными категориями,беклог-промтов/131-blog.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
132,Материалы для владельцев,/blog/sellers/,P2,content,"статьи об оценке, подготовке, продаже, документах и налогах",беклог-промтов/132-blog-sellers.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
133,Материалы для покупателей,/blog/buyers/,P2,content,"статьи о выборе, проверке, переговорах и сопровождении покупки",беклог-промтов/133-blog-buyers.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
134,Материалы об ипотеке,/blog/mortgage/,P2,content,"статьи о расчётах, документах и процессе ипотечной заявки",беклог-промтов/134-blog-mortgage.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
135,Материалы о документах,/blog/documents/,P2,content,"статьи о документах, проверках и юридических рисках",беклог-промтов/135-blog-documents.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
136,Отзывы,/reviews/,P1,trust,подтверждённые отзывы с фильтрами и прозрачным источником,беклог-промтов/136-reviews.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
137,Контакты,/contacts/,P1,trust,контактные способы и форма с согласием без неподтверждённого офиса,беклог-промтов/137-contacts.md,беклог-промтов/assets/site-pages/poster-about-trust-v1.webp,poster-about-trust-v1.webp,"о компании, контакты, экспертный подход и доверие",prepared,remaining
138,Шаблон карточки объекта,PATTERN: single property,P1,pattern,"галерея, характеристики, risk UX и безопасный следующий шаг",беклог-промтов/138-pattern-object-detail.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
139,Шаблон статьи,PATTERN: single post,P2,pattern,"редакционная статья с навигацией, дисклеймерами и связанными сценариями",беклог-промтов/139-pattern-article.md,беклог-промтов/assets/site-pages/poster-content-editorial-v1.webp,poster-content-editorial-v1.webp,"материалы, статьи, редакционный и образовательный контент",prepared,remaining
140,Empty state каталога,PATTERN: catalog empty state,P1,pattern,честное состояние при отсутствии подходящих или опубликованных объектов,беклог-промтов/140-pattern-catalog-empty.md,беклог-промтов/assets/site-pages/poster-empty-state-v1.webp,poster-empty-state-v1.webp,"empty state, мягкий фон для отсутствия результатов",prepared,remaining
